,title,artists,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
38,Llamado de Emergencia,Daddy Yankee,spotify:track:2jnZUvhw2LTvDI6YidRVcO,0.703,0.909,4,-4.456,0,0.0358,0.216,1.57e-06,0.162,0.777,97.982,239920,4
39,Ven Bailalo - Reggaeton Mix,Angel Y Khriz,spotify:track:5nZYc9ZDMhlXv6iWahZTU8,0.675,0.919,11,-6.075,0,0.0366,0.0606,0.00653,0.103,0.726,97.017,252773,4
40,Ella Y Yo - Featuring Don Omar,Aventura,spotify:track:6G4U9avyBNEfP0fAIduev3,0.732,0.708,9,-7.905,0,0.262,0.534,0.0,0.237,0.717,175.924,267787,4
41,Mayor Que Yo,Baby Ranks,spotify:track:7pMWE6h8thBOq9YnFzBEpy,0.671,0.881,9,-4.331,0,0.305,0.528,0.0,0.383,0.733,179.968,254080,4
42,El Telefono,"Héctor ""El Father""",spotify:track:614NVFo5csQqRnryl4jXs2,0.808,0.682,2,-7.128,1,0.0963,0.171,1.42e-06,0.464,0.491,89.987,235627,4
43,Bailando por Ahi,Juan Magán,spotify:track:6sHBvzRsuGunQTfCk18KXi,0.73,0.732,4,-5.167,0,0.051,0.0427,2.22e-06,0.262,0.974,129.974,180453,4
44,Pa' Que Retozen,Tego Calderón,spotify:track:5YJ4BVvTFmVCxUyhKejHfR,0.815,0.856,1,-3.825,0,0.122,0.4,8.34e-05,0.244,0.872,91.995,151667,4
45,Llorando en un Ferrari,Anuel AA,spotify:track:0x4Kmsd1YLB9emO8thJ62U,0.761,0.876,6,-5.705,0,0.0658,0.00967,0.00444,0.103,0.352,121.032,193237,4
46,Dictadura,Anuel AA,spotify:track:4yoc5cUWk4OFvqOcvFvw0o,0.822,0.708,1,-4.651,0,0.0825,0.169,1.84e-05,0.114,0.456,94.974,208008,4
47,Unfollow,Duki,spotify:track:1rxX4SkYDqluMJcYSijMSH,0.818,0.648,2,-3.847,0,0.131,0.0166,1.01e-05,0.177,0.713,92.019,196727,4
48,Amanece,Anuel AA,spotify:track:1LiN0Z98FkR1t0m8KmLcAH,0.79,0.631,8,-5.549,0,0.0425,0.437,0.0,0.158,0.889,94.039,190005,4
49,A Solas - Remix,Lunay,spotify:track:1fXEkSum1vbTa3w0yvYzYW,0.62,0.744,6,-2.576,0,0.142,0.66,5.8e-06,0.141,0.589,180.014,273198,4
50,Adictiva,Daddy Yankee,spotify:track:6MJUCumnQsQEKbCy28tbCP,0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-05,0.172,0.701,99.038,207853,4
51,Secreto,Anuel AA,spotify:track:5W83ErFkO3aKAIS1WMi6u0,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,4
52,Baila Baila Baila - Remix,Ozuna,spotify:track:7mWFF4gPADjTQjC97CgFVt,0.785,0.572,2,-7.504,1,0.123,0.0598,0.0,0.218,0.49,100.016,235284,4
53,China,Anuel AA,spotify:track:0KkIkfsLEJbrcIhYsCL7L5,0.786,0.808,7,-3.702,1,0.0881,0.0846,0.000289,0.0822,0.608,105.029,301714,4
54,Soltera - Remix,Lunay,spotify:track:4t9a07PAghtQMRAIP9FQ7Z,0.795,0.783,5,-4.271,1,0.0432,0.361,0.0,0.437,0.799,92.01,266087,4
55,Tusa,KAROL G,spotify:track:0dKg2vGC1hFqcK5LGTaKzX,0.799,0.701,2,-3.272,1,0.282,0.309,7.36e-05,0.0514,0.607,100.946,201920,4
56,Otro Trago - Remix,Sech,spotify:track:4bTZeO72FwMa6wKOiqoynL,0.725,0.79,0,-2.331,1,0.197,0.0711,1.14e-06,0.0602,0.763,175.988,287773,4
57,Cuaderno,Dalex,spotify:track:7anSoGdgtmJTAPZBzcPhO6,0.681,0.648,1,-5.021,0,0.38,0.523,0.0,0.104,0.688,172.02,286507,4
58,Que Mas Pues - Remix,Sech,spotify:track:7fODjB7BrQTGqh0hogW6XD,0.647,0.661,11,-5.027,1,0.2,0.121,2.27e-06,0.12,0.811,113.358,305962,5
59,Callaita,Bad Bunny,spotify:track:2TH65lNHgvLxCKXM3apjxI,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4
60,La Playa,Myke Towers,spotify:track:6768f4xbHQBpJo5lvFVNvs,0.796,0.683,10,-2.754,0,0.15,0.108,0.0,0.107,0.353,140.108,207731,4
61,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,spotify:track:6osaMSJh9NguagEDQcZaKx,0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,185195,4
62,No Me Conoce - Remix,Jhayco,spotify:track:4R8BJggjosTswLxtkw8V7P,0.806,0.786,10,-3.831,0,0.0741,0.145,0.0,0.0935,0.58,91.973,309120,4
63,Si Se Da - Remix,Myke Towers,spotify:track:6K5BsR04ijf3FHNzjbaagD,0.817,0.672,11,-5.612,0,0.299,0.441,0.0,0.13,0.774,93.999,332240,4
64,Mírame - Remix,Nio Garcia,spotify:track:7meQTf97i7gyAzeHTLIytv,0.739,0.832,1,-3.244,1,0.151,0.119,1.35e-05,0.245,0.776,176.04,377580,4
65,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,spotify:track:1ndyl3wJCFs872XZ3ztPk6,0.743,0.709,3,-3.922,0,0.0879,0.0451,5.18e-06,0.0809,0.831,170.001,258600,4
66,Piensan,Myke Towers,spotify:track:1A9PKAFEHMWgXNLpgf7k4J,0.677,0.722,2,-4.443,0,0.0626,0.538,0.0,0.11,0.786,172.0,173452,4
67,"105 F Remix (feat. Arcangel, Ñengo Flow, Darell, Myke Towers & Brytiago)",KEVVO,spotify:track:73R3WkIr8D4jfvJ1Ti5hty,0.903,0.737,5,-7.442,0,0.161,0.355,1.48e-06,0.284,0.766,100.021,464214,4
68,Bellaquita,Dalex,spotify:track:1tpbAGsGpZee5jDHMcLrUJ,0.584,0.698,8,-3.961,1,0.106,0.09,6.87e-05,0.171,0.765,166.047,204787,4
69,Piropo,Noriel,spotify:track:3ltZpTagx93zE54eTG5NBh,0.866,0.747,9,-5.748,1,0.0725,0.122,0.0217,0.0403,0.772,93.983,220133,4
70,No Vuelvas Más,Darell,spotify:track:0mcBgVRVsvESTkEyVHt7Ue,0.866,0.602,11,-5.236,1,0.0844,0.434,3.06e-05,0.0567,0.836,95.016,239093,4
71,Easy - Remix,Jhayco,spotify:track:1NmQc6rwLv7g0UHL1AFOa9,0.89,0.748,1,-3.844,0,0.0976,0.186,2.07e-06,0.133,0.402,94.06,219867,4
72,Aventura,Lunay,spotify:track:37zdqI4r1gswIzczSBkRon,0.729,0.726,5,-3.208,1,0.0422,0.223,0.0,0.101,0.876,92.025,217130,4
73,La Cama - Remix,Lunay,spotify:track:2tGENA8xef0wABdHvyXwv9,0.737,0.832,2,-2.622,0,0.0798,0.12,0.0,0.255,0.865,173.986,330240,4
74,Reggaetonera,Anuel AA,spotify:track:6yVkakCN460KOVol9ZazjH,0.694,0.796,6,-4.164,1,0.0565,0.48,0.000384,0.108,0.515,93.064,212312,4
75,Por Mi Reggae Muero 2020,Yandel,spotify:track:09yuQ2v1mHGWZVrpQB1Oj4,0.603,0.815,0,-3.572,1,0.0904,0.0361,0.0,0.133,0.79,105.254,214919,4
76,Te Boté - Remix,Nio Garcia,spotify:track:3V8UKqhEK5zBkBb6d6ub8i,0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,417920,4
77,X (feat. Maluma & Ozuna) - Remix,Nicky Jam,spotify:track:6JjPBQfI2Y8nIjnm65X6Pw,0.663,0.696,9,-4.957,0,0.103,0.0561,3.77e-05,0.0778,0.738,180.113,235747,4
78,Solita,Ozuna,spotify:track:7rwX0O3RlxqqIjQM8evm5E,0.807,0.633,10,-6.016,0,0.0929,0.0564,0.0,0.107,0.325,138.038,311726,4
79,Síguelo Bailando,Ozuna,spotify:track:5Y9fnynLlIvqtM710MHzfz,0.855,0.664,9,-7.11,0,0.0607,0.165,3.97e-05,0.0937,0.626,98.015,226800,4
80,MIA (feat. Drake),Bad Bunny,spotify:track:116H0KvKr2Zl4RPuVBruDO,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4
81,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,spotify:track:0KoiMHhqKLoL4xM54rcWYY,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,4
82,Con Calma,Daddy Yankee,spotify:track:5w9c2J52mkdntKOmRLeM2m,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,4
83,Asesina - Original mix,Brytiago,spotify:track:6PniMs08lEakpuRp2nsMGv,0.835,0.703,10,-4.177,0,0.231,0.56,0.0,0.144,0.502,94.211,187255,4
84,Zum Zum,Daddy Yankee,spotify:track:7lEhOiFtcLXY4P7cuTKuQ8,0.839,0.832,0,-2.492,1,0.0531,0.0622,4.59e-06,0.282,0.529,92.004,235773,4
85,Criminal,NATTI NATASHA,spotify:track:6Za3190Sbw39BBC77WSS1C,0.814,0.813,2,-3.023,0,0.0561,0.03,9.33e-05,0.255,0.839,79.997,232550,4
86,Madura (feat. Bad Bunny),Cosculluela,spotify:track:0r9d60ZYPAlFHq8qnUtkXN,0.878,0.555,1,-7.639,0,0.202,0.138,1.34e-06,0.151,0.751,88.029,190909,4
87,Mayores,Becky G,spotify:track:2AY1UAimvTqjJC8vDJsOyy,0.745,0.836,5,-4.336,0,0.0444,0.145,0.00314,0.116,0.874,96.993,203187,4
88,Perro Fiel (feat. Nicky Jam),Shakira,spotify:track:70lnL3QaSOIIyMa2X9aVRL,0.75,0.76,1,-4.836,1,0.198,0.187,0.0,0.0548,0.893,183.817,195213,4
89,Me Enamoré,Shakira,spotify:track:4qknM1pQz53QOyfDVTjcM9,0.74,0.879,9,-2.251,0,0.105,0.193,8.25e-05,0.0928,0.948,103.71,226893,4
90,Chantaje (feat. Maluma),Shakira,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,195840,4
91,Safari,J Balvin,spotify:track:456xBIOmLRoLzCvCzZrWge,0.689,0.675,0,-4.281,1,0.32,0.531,3.17e-06,0.115,0.604,180.065,205600,4
92,Bobo,J Balvin,spotify:track:5kdTuoKeqdnblCop75wMuX,0.742,0.893,10,-2.671,1,0.117,0.115,6.67e-05,0.125,0.777,177.879,209427,4
93,Borro Cassette,Maluma,spotify:track:6DUdDIRgLqCGq1DwkNWQTN,0.73,0.701,5,-5.885,0,0.106,0.132,0.0,0.151,0.785,175.95,207307,4
94,Sin Contrato,Maluma,spotify:track:3yHJs5NmQk2ROAWCfjniXV,0.748,0.866,11,-3.41,0,0.057,0.111,0.0,0.0727,0.839,96.037,221053,4
95,Ay Vamos,J Balvin,spotify:track:6Ges5C2IE738iJh4HyQizQ,0.718,0.711,8,-5.746,0,0.11,0.157,5.54e-05,0.1,0.92,173.916,226413,4
96,6 AM,J Balvin,spotify:track:7mPwkbaoiQ5bf8FPbRJzUr,0.747,0.739,5,-5.256,0,0.0931,0.142,0.0,0.273,0.737,175.978,243227,4
97,Ginza,J Balvin,spotify:track:2C2TGgFzrTRIOdQS1vUN5h,0.73,0.809,5,-6.406,0,0.0876,0.208,0.0013,0.0804,0.825,101.965,171093,4
98,La Nueva Y La Ex,Daddy Yankee,spotify:track:6WuufZDBNoEJBTinRiznhO,0.64,0.943,5,-3.542,1,0.137,0.0464,0.0,0.137,0.637,198.062,197053,4
99,Propuesta Indecente,Romeo Santos,spotify:track:5PycBIeabfvX3n9ILG7Vrv,0.757,0.632,2,-6.83,1,0.0549,0.499,0.0,0.0723,0.742,122.936,235133,4
100,Perros Salvajes,Daddy Yankee,spotify:track:4oROqjxNSBrVxrcSaW77Mc,0.806,0.804,6,-4.84,0,0.146,0.0615,0.0,0.115,0.766,88.018,190311,4
101,Pasarela,Daddy Yankee,spotify:track:7uUYUy2qLfev9ppNvFBHpX,0.842,0.893,9,-4.277,1,0.0462,0.104,0.0,0.289,0.713,121.035,193627,4
102,Eres Mía,Romeo Santos,spotify:track:6I86RF3odBlcuZA9Vfjzeq,0.843,0.729,6,-3.634,0,0.0374,0.401,1.2e-06,0.206,0.903,123.046,250640,4
103,Hilito,Romeo Santos,spotify:track:6CKlQHQIxhWtq7MnEJ6QCz,0.872,0.726,5,-3.513,0,0.0324,0.346,0.0,0.114,0.875,117.012,234760,4
104,Inocente,Romeo Santos,spotify:track:6rXvMpWJbTyhSrVWye7jPE,0.733,0.794,5,-4.328,1,0.0447,0.359,0.0,0.16,0.857,140.186,236293,4
105,Cancioncitas de Amor,Romeo Santos,spotify:track:6bcdiJvYNX115yvbh3wASz,0.783,0.781,4,-3.079,1,0.0419,0.574,0.0,0.323,0.771,125.9,237093,4
106,Necio (feat. Carlos Santana),Romeo Santos,spotify:track:3DKWF8is9hzp84aSxnhlag,0.869,0.684,1,-4.915,1,0.0456,0.362,0.0,0.0737,0.88,115.052,264267,4
107,Tranquila,J Balvin,spotify:track:6klAm7Z2oR2FM7lozc7agF,0.731,0.67,4,-6.43,0,0.203,0.0278,0.0,0.131,0.658,175.944,199933,4
108,Voy A Beber (Original),Nicky Jam,spotify:track:1hMW2InUHSFeujNyQhWkMR,0.789,0.736,9,-5.738,0,0.0691,0.0485,0.0,0.045,0.926,82.011,213560,4
109,A Que No Te Atreves,"Tito ""El Bambino""",spotify:track:3H7UaBpIlxh6gCC9LBDzsM,0.772,0.796,0,-5.205,1,0.0755,0.27,0.0,0.307,0.804,89.993,186760,4
110,Hasta el Amanecer,Nicky Jam,spotify:track:5Fim1gaXBgsiFfsQAfQSDS,0.832,0.608,6,-6.042,0,0.0385,0.282,0.0,0.0761,0.589,94.013,198707,4
111,Picky - Remix,Joey Montana,spotify:track:1T4yFuWR3UFXQ9Og8IKMmi,0.786,0.812,8,-3.038,1,0.0491,0.0884,0.0,0.265,0.675,93.226,226400,4
112,La Temperatura (feat. Eli Palacios),Maluma,spotify:track:03f28Kmu5AlIdKAfEJiI8F,0.763,0.82,1,-4.873,0,0.0373,0.0515,4.65e-05,0.316,0.905,119.971,224787,4
113,Sola (Remix),Anuel AA,spotify:track:5q2JbCNi4FcnglgPfxcV65,0.639,0.869,11,-4.024,1,0.147,0.27,0.0,0.0802,0.767,169.801,307910,4
114,Otra vez (feat. J Balvin),Zion & Lennox,spotify:track:3QwBODjSEzelZyVjxPOHdq,0.832,0.772,10,-5.429,1,0.1,0.0559,0.000486,0.44,0.704,96.016,209453,4
115,Chillax (feat. Ky-Mani Marley),Farruko,spotify:track:1lxswgIpzV6HhENRvkflES,0.827,0.646,1,-4.727,0,0.0766,0.0724,0.0,0.247,0.512,92.057,197840,4
116,La Rompe Corazones,Daddy Yankee,spotify:track:2Q85xwXagilpHKTfdrbC7M,0.685,0.859,5,-2.595,0,0.0553,0.116,0.0,0.317,0.891,176.018,204520,4
117,Me Rehúso,Danny Ocean,spotify:track:6ifUES3keWjwXgae8pXI3o,0.744,0.804,1,-6.327,1,0.0677,0.0231,0.0,0.0494,0.426,104.823,205715,4
118,Se Preparó,Ozuna,spotify:track:1m69ELEgE6k5ZWsap40ozt,0.739,0.821,1,-4.233,1,0.0852,0.222,9.6e-06,0.311,0.693,171.077,188080,4
119,Felices los 4,Maluma,spotify:track:1RouRzlg8OKFeqc6LvdxmB,0.766,0.756,5,-5.861,1,0.132,0.213,0.0,0.349,0.716,94.027,230000,4
120,Ay Mi Dios,IAmChino,spotify:track:5Uel5PmPBZICA0TQTI912U,0.761,0.829,0,-3.203,0,0.0682,0.169,0.0,0.189,0.814,92.034,252003,4
121,Cuéntale,Don Omar,spotify:track:4ocXAchdkulq97w6m1ZaPv,0.657,0.933,9,-3.624,0,0.181,0.17,0.000137,0.204,0.637,89.931,261307,4
122,Atrévete-Te-Te,Calle 13,spotify:track:1q8NdCAQ9QUjpYiqzdd3mv,0.829,0.878,9,-5.951,1,0.101,0.0959,0.0,0.776,0.883,87.991,239307,4
123,Salió El Sol,Don Omar,spotify:track:48NXpYRuvv9izul4oXhqS9,0.887,0.701,4,-5.892,0,0.0873,0.106,0.00948,0.0466,0.965,110.002,315293,4
124,Rompe,Daddy Yankee,spotify:track:0Bp4vQU6sQsXpU5ygD1Tx3,0.687,0.806,1,-6.019,0,0.0549,0.0358,5.83e-06,0.0569,0.534,176.064,189040,4
125,Gasolina,Daddy Yankee,spotify:track:6jEZLz3YpnEBRpVkv35AmP,0.857,0.801,0,-6.499,1,0.0618,0.332,1.2e-06,0.0789,0.753,96.009,192600,4
126,Si No Le Contesto,Plan B,spotify:track:3XaWuYsTtnkzCSBr0RmROc,0.846,0.747,1,-5.074,0,0.0533,0.0947,0.0,0.159,0.517,95.003,220057,4
127,¿Qué Tengo Que Hacer?,Daddy Yankee,spotify:track:0nssGbqC6ZSMx0OliWCkHk,0.76,0.893,10,-3.913,0,0.0639,0.0758,8.21e-05,0.321,0.948,107.994,218507,4
128,Guaya Guaya,Don Omar,spotify:track:79zvVrn65ksbiGQxrtV4I5,0.788,0.873,7,-2.322,1,0.117,0.00607,0.00052,0.0908,0.703,91.981,193613,4
129,Pobre Diabla,Don Omar,spotify:track:7gxVgMixTYh4NXiNMao4s2,0.741,0.787,5,-6.228,1,0.0525,0.217,0.0179,0.0835,0.771,91.993,255680,4
130,Dale Don Dale,Don Omar,spotify:track:1PZrHbJjt5t7dP9OGRxcD0,0.831,0.818,2,-7.827,1,0.0825,0.0242,0.000336,0.0892,0.807,95.023,212413,4
131,El Señor de la Noche,Don Omar,spotify:track:7o5V0BUS9x8zdXMb2CiGpi,0.725,0.88,10,-3.74,1,0.118,0.066,0.0,0.156,0.683,95.965,204174,4
132,Yo No Soy Tu Marido,Nicky Jam,spotify:track:10bbgurV9w05vJVGAX9jYq,0.807,0.643,10,-7.347,0,0.0522,0.0707,5.61e-05,0.0865,0.821,94.983,199368,4
133,Reggaetón en lo Oscuro,Wisin & Yandel,spotify:track:7LLXLd0pisbEAdIVK502VM,0.747,0.898,1,-3.683,1,0.0709,0.0613,1.66e-06,0.0886,0.689,91.97,208947,4
134,Me enamoré - Feeling of Love,Xriz,spotify:track:4wPrE3gGDXUsymRJ1MaDoV,0.575,0.862,11,-3.889,0,0.0787,0.0274,0.0,0.302,0.681,130.05,219505,4
135,Es un Secreto,Plan B,spotify:track:0R7DSnSibvuE4PEHqUayqf,0.836,0.777,6,-5.376,0,0.0439,0.0951,1.68e-06,0.0561,0.504,94.977,190564,4
136,Choca,Plan B,spotify:track:1hiKRqR0jox7OI7aweq7Sj,0.858,0.835,4,-4.852,0,0.122,0.225,5.76e-06,0.0613,0.466,88.0,220987,4
137,Donde Estan Las Gatas (feat. Nicky Jam),Daddy Yankee,spotify:track:3Kemg5QPEhEjOiWUFrTkXX,0.836,0.961,7,-2.679,0,0.0635,0.194,0.0,0.074,0.76,109.957,170006,4
138,Llamado de Emergencia,Daddy Yankee,spotify:track:3bkBVEmRJuJZNh5iVgJkWm,0.699,0.91,4,-4.405,0,0.036,0.217,2.66e-06,0.146,0.792,97.971,239920,4
139,Noche de Travesuras,"Héctor ""El Father""",spotify:track:1x2l87hu1rrlS7xCBEy6Nk,0.83,0.622,9,-8.343,1,0.204,0.384,0.0,0.0677,0.428,92.017,208894,4
140,Noche De Sexo,Wisin & Yandel,spotify:track:4kAtRwNRLMKuoCbxMSxUGI,0.686,0.722,2,-5.4,1,0.256,0.108,0.0,0.494,0.515,94.006,205707,4
141,Ley Seca,Jhayco,spotify:track:3JCaq3KDSROg3TXhdiDa9n,0.759,0.842,8,-3.758,1,0.096,0.101,0.0,0.134,0.584,105.059,263253,4
142,Dos Opciones,Lyanno,spotify:track:3qIpCIYX31M7RWjkIGaX5l,0.783,0.7,7,-4.726,1,0.179,0.235,0.0,0.0861,0.53,160.013,224405,4
143,FRIKI,Feid,spotify:track:3No3zHVwKadKDR00kZdmAB,0.818,0.88,6,-2.411,0,0.0577,0.0237,0.0,0.0777,0.686,94.985,144987,4
144,Los Illuminaty,Rochy RD,spotify:track:4WOmUK3ngIuHqqdgka0DN2,0.844,0.793,10,-4.642,0,0.295,0.291,0.0,0.159,0.802,117.04,157116,4
