,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
54,0.547,0.3,3,-13.973,1,0.107,0.777,0.0,0.0653,0.811,97.793,187200,4
55,0.668,0.586,4,-16.905,1,0.042,0.247,4.35e-05,0.108,0.87,88.079,117354,4
56,0.612,0.669,4,-6.881,1,0.0378,0.317,0.0,0.136,0.969,156.439,132720,4
57,0.463,0.224,5,-10.542,1,0.0255,0.866,0.0,0.116,0.394,67.47,149067,4
58,0.516,0.809,0,-6.419,1,0.0545,0.787,0.000331,0.303,0.939,75.099,126960,4
59,0.347,0.595,1,-6.432,0,0.0483,0.0194,2.01e-05,0.118,0.565,173.238,137520,4
60,0.52,0.263,9,-12.515,1,0.052,0.472,0.756,0.239,0.313,127.34,167001,4
61,0.568,0.304,0,-19.382,1,0.0341,0.523,0.0027,0.167,0.601,108.265,123800,4
62,0.276,0.493,5,-8.826,1,0.033,0.0688,0.18,0.218,0.555,93.365,129680,4
63,0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.936,93.723,123520,4
64,0.71,0.667,1,-6.664,0,0.0397,0.334,0.0037,0.259,0.847,124.552,134840,4
65,0.665,0.473,6,-9.808,1,0.035,0.593,4.27e-05,0.093,0.939,92.944,146495,4
66,0.641,0.834,7,-7.831,1,0.242,0.626,0.000534,0.131,0.849,120.948,116027,4
67,0.494,0.756,0,-8.492,1,0.0499,0.733,0.00505,0.76,0.949,86.895,136027,4
68,0.742,0.0899,9,-19.187,0,0.158,0.0906,0.0,0.113,0.351,137.473,201333,4
69,0.599,0.481,9,-7.412,1,0.0467,0.501,0.0,0.0982,0.772,62.573,156793,4
70,0.623,0.605,0,-9.923,1,0.0306,0.352,0.0,0.101,0.804,106.163,151107,3
71,0.65,0.836,3,-9.702,1,0.1,0.557,7.34e-06,0.194,0.775,90.493,136267,4
72,0.66,0.419,7,-14.265,1,0.037,0.574,0.00296,0.0719,0.894,103.154,166187,4
73,0.693,0.532,4,-9.712,1,0.0368,0.774,0.0,0.317,0.791,120.83,152187,1
74,0.672,0.733,9,-7.274,0,0.0337,0.789,3.6e-06,0.127,0.963,126.69,157853,4
75,0.591,0.454,5,-8.936,1,0.0322,0.744,0.0,0.0989,0.865,128.909,157733,4
76,0.7,0.122,8,-16.596,0,0.0382,0.915,0.762,0.133,0.522,112.29,164360,4
77,0.547,0.335,4,-9.2,0,0.0307,0.747,0.0,0.101,0.474,115.838,154733,3
78,0.203,0.295,3,-11.155,1,0.0323,0.92,2.05e-06,0.173,0.285,171.222,160933,3
79,0.465,0.898,2,-5.186,1,0.0477,0.0748,0.00558,0.127,0.68,142.669,132627,4
80,0.632,0.137,4,-15.351,1,0.0446,0.866,2.92e-06,0.0825,0.516,125.95,185027,4
81,0.416,0.236,1,-10.962,0,0.0499,0.821,0.00012,0.189,0.302,101.069,229400,4
82,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,179693,3
83,0.595,0.451,9,-12.987,0,0.0288,0.0106,0.929,0.0962,0.779,133.671,174187,4
84,0.399,0.258,5,-16.028,1,0.033,0.792,1.86e-06,0.128,0.192,108.174,137520,3
85,0.288,0.316,0,-8.06,1,0.0286,0.861,0.0,0.188,0.201,130.939,215120,4
86,0.554,0.812,0,-13.433,1,0.041,0.911,0.000175,0.249,0.973,158.074,154933,4
87,0.507,0.561,7,-10.472,1,0.0353,0.548,0.0,0.59,0.89,120.042,145933,4
88,0.584,0.737,1,-4.643,1,0.0306,0.745,1.93e-05,0.208,0.753,84.322,157880,4
89,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181,138640,3
